feature,coefficient,absolute_coefficient,odds_ratio
ORGANIZATION_TYPE_Trade: type 5,-0.9523802788985981,0.9523802788985981,0.3858215666730537
ORGANIZATION_TYPE_Trade: type 4,-0.850334588964445,0.850334588964445,0.42727194755109227
NAME_INCOME_TYPE_Pensioner,-0.8204018585092688,0.8204018585092688,0.44025469885583296
ORGANIZATION_TYPE_Realtor,0.7723803395641222,0.7723803395641222,2.1649133543413064
NAME_INCOME_TYPE_Student,-0.6537502296329811,0.6537502296329811,0.5200916517183253
OCCUPATION_TYPE_Low-skill Laborers,0.5734274394791455,0.5734274394791455,1.7743380778300657
ORGANIZATION_TYPE_Transport: type 3,0.5299506155274296,0.5299506155274296,1.698848409814223
ORGANIZATION_TYPE_Military,-0.5162733828957851,0.5162733828957851,0.5967402318000771
ORGANIZATION_TYPE_Industry: type 8,0.5105910308484439,0.5105910308484439,1.6662757243287
EXT_SOURCE_3,-0.5054485852010694,0.5054485852010694,0.6032349124693785
ORGANIZATION_TYPE_Trade: type 6,-0.495895557260486,0.495895557260486,0.6090252460164289
ORGANIZATION_TYPE_Industry: type 12,-0.4827736534745483,0.4827736534745483,0.6170694791002136
ORGANIZATION_TYPE_Legal Services,0.455958054178254,0.455958054178254,1.5776841661197252
OCCUPATION_TYPE_Drivers,0.4424217044339095,0.4424217044339095,1.556471973188601
NAME_EDUCATION_TYPE_Lower secondary,0.4371079859667325,0.4371079859667325,1.548223254414619
ORGANIZATION_TYPE_XNA,-0.4106377506765773,0.4106377506765773,0.6632271416734792
ORGANIZATION_TYPE_Bank,-0.3980810983636011,0.3980810983636011,0.6716075591793557
ORGANIZATION_TYPE_Industry: type 6,-0.3911430079516732,0.3911430079516732,0.6762834352147099
ORGANIZATION_TYPE_Trade: type 2,-0.38992797760470954,0.38992797760470954,0.6771056395120794
EXT_SOURCE_2,-0.3831850704998279,0.3831850704998279,0.6816867275076277
ORGANIZATION_TYPE_Industry: type 5,-0.37889375342833304,0.37889375342833304,0.6846183471546002
